year,sex,n,n_miss,age_mean,age_sd,cod
2004,M,17115,5,40.31805961426067,12.429188333756597,all_drugs
2005,All,29788,5,42.00053721921902,13.047924648526525,all_drugs
2005,F,11084,0,44.17511728617828,13.32751906226709,all_drugs
2005,M,18704,5,40.711535376223324,12.705177825512331,all_drugs
2006,All,34403,12,41.891861242767,13.124091607288394,all_drugs
2006,F,12526,3,44.40150123772259,13.526489571308684,all_drugs
2006,M,21877,9,40.45468264130236,12.666333470652505,all_drugs
2007,All,35996,4,42.26519782173816,13.318295769992881,all_drugs
2007,F,13709,1,44.75612780857893,13.45304579568199,all_drugs
2007,M,22287,3,40.73290253096392,13.000033201992027,all_drugs
2008,All,36420,3,42.60501963368756,13.374724471163836,all_drugs
2008,F,13969,2,45.14083196105105,13.379002486810219,all_drugs
2008,M,22451,1,41.02739420935412,13.127462302199577,all_drugs
2009,All,36986,7,43.01728007788204,13.523770454288345,all_drugs
2009,F,14405,1,45.51659261316301,13.554462836135986,all_drugs
2009,M,22581,6,41.42259136212625,13.26051486443809,all_drugs
2010,All,38310,4,42.93912180859395,13.675835724310543,all_drugs
2010,F,15319,1,45.23671497584541,13.688991968356063,all_drugs
2010,M,22991,3,41.40812597877153,13.45120507936214,all_drugs
2011,All,41328,6,42.99530516431925,13.616362093002355,all_drugs
2011,F,16347,2,45.36047721015601,13.585136246659212,all_drugs
2011,M,24981,4,41.44753172919086,13.413126969851225,all_drugs
2012,All,41488,2,43.395410499927685,13.664750684184199,all_drugs
2012,F,16386,0,45.60124496521421,13.588818876192576,all_drugs
2012,M,25102,2,41.95537848605578,13.521590905309992,all_drugs
2013,All,43967,6,43.76342667364255,13.794329350641943,all_drugs
2013,F,17180,1,45.86547528959777,13.694656216317455,all_drugs
2013,M,26787,5,42.41509222612202,13.689252425442533,all_drugs
2014,All,47045,6,43.621016603244115,13.798615098099424,all_drugs
2014,F,18239,3,45.88034656722966,13.888452388424003,all_drugs
2014,M,28806,3,42.190570426691664,13.548262301584499,all_drugs
2015,All,52390,5,43.164799083707166,13.808576214077547,all_drugs
2015,F,19439,2,45.31368009466482,13.958831091779475,all_drugs
2015,M,32951,3,41.89711059851888,13.560606244985477,all_drugs
2016,All,63628,10,42.56653777232859,13.714839091942679,all_drugs
2016,F,22072,3,44.60995060945217,14.01297408692523,all_drugs
2016,M,41556,7,41.4811668150858,13.428126759163444,all_drugs
0,All,85090,16,38.04125819874462,11.870036249115437,heroin
0,F,17862,0,37.35925428283507,11.901490067816543,heroin
0,M,67228,16,38.22250490983753,11.8551547504999,heroin
1999,All,1960,2,38.798774259448415,10.190939423090546,heroin
1999,F,306,0,37.83660130718954,11.101296640462289,heroin
1999,M,1654,2,38.9769975786925,10.006694485661601,heroin
2e3,All,1842,3,38.23926046764546,9.913848849843266,heroin
2e3,F,279,0,37.17562724014337,10.080323854501374,heroin
2e3,M,1563,3,38.42948717948718,9.874980000620988,heroin
2001,All,1779,1,38.53880764904387,10.287313796084959,heroin
2001,F,313,0,37.412140575079874,10.123568886801548,heroin
2001,M,1466,1,38.77952218430034,10.309413494575592,heroin
2002,All,2089,0,38.935375777884154,10.310279152017925,heroin
2002,F,359,0,36.910863509749305,9.830568507732854,heroin
2002,M,1730,0,39.35549132947977,10.36032084557947,heroin
2003,All,2080,0,39.07788461538462,10.851336637783644,heroin
2003,F,358,0,38.365921787709496,10.763183466595853,heroin
2003,M,1722,0,39.22590011614402,10.866821625206715,heroin
2004,All,1878,1,38.45871070857752,11.25655577950077,heroin
2004,F,341,0,38.12023460410557,11.088954544319112,heroin
2004,M,1537,1,38.533854166666664,11.295620193649185,heroin
2005,All,2009,0,38.57093081134893,11.378803211655121,heroin
2005,F,389,0,37.239074550128535,11.440203803204765,heroin
